OBJECTID,CSA2010,domvio10,domvio11,domvio12,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,59.3821298637233,65.4251711167294,60.9853857063575,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,47.8636660143509,44.7651663405088,42.4005218525766,37524.9505333862,47882527.7112373
3,Belair-Edison,51.102434542949,57.762976573266,60.86357372531,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,68.0334199255775,74.0714737063821,63.4697746261321,150987.70363871,176077742.748461
5,Canton,34.320987654321,39.6296296296296,35.8024691358024,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,60.2368722672666,70.2126756378147,66.7317570149,39962.5498346887,71541340.306082
7,Cherry Hill,62.9114850036576,71.0802243355279,78.639356254572,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,39.7111913357401,44.2238267148014,47.3182052604435,21705.411630324,21022590.1303212
9,Claremont/Armistead,60.381484631272,68.7644271655935,67.4280160369335,40104.4159801772,61243774.4204004
10,Clifton-Berea,49.7265545878064,63.5001012760786,61.7784079400445,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,22.5563909774436,19.410771827528,20.6383305201779,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,55.3523530846135,57.5469397707876,45.3547915142648,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,51.5866282029527,49.0412353639912,52.0108603427795,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,91.8662262592898,76.7918088737201,81.2907229289481,21565.8593945388,20736554.4071934
15,Edmondson Village,43.4177215189873,43.1645569620253,44.3037974683544,21504.5513578719,23563061.0426838
16,Fells Point,40.4912047792897,39.9380462440535,48.6779511007854,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,51.3757741902731,51.0711747385521,56.6554980201035,36886.899781185,37200535.0297002
18,Glen-Fallstaff,47.2039694247016,49.3496043985517,47.6733270752313,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,43.3164541516686,41.3031541699713,46.9769995729363,26454.2692113378,27051213.4555493
20,Greater Govans,45.0332365883344,42.5990075835596,45.5949817432824,22982.1257150065,22698495.7172767
21,Greater Mondawmin,62.5402274190088,65.5438747049989,60.5020381892297,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,32.5335502236682,29.0090822827708,28.4668564457096,39862.7497953315,56688145.179702
23,Greater Rosemont,64.3335583363622,62.5681499558648,56.9084583830936,32559.0762212062,42204384.5422658
24,Greenmount East,49.973586899102,72.9472140762463,70.8699902248289,20797.473457859,19072287.8238042
25,Hamilton,42.455006922012,43.8394093216428,46.5313028764805,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,74.9029036434252,75.4577399667098,66.9502496763454,18552.4075815481,10215859.0840198
27,Harford/Echodale,44.0643743690243,49.1715660074826,46.855513985391,40019.1854001864,65360039.1701278
28,Highlandtown,46.2068965517241,52.8275862068965,56.551724137931,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,46.2613814034765,45.5256139060057,46.0774395291088,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,57.3006134969325,39.1287436795021,41.5402567094515,43415.0595477941,24995836.2620936
31,Lauraville,48.8063228224558,54.8358184632934,44.2434612564165,34419.6765281197,49665744.2382935
32,Loch Raven,45.1309516034224,43.4328260727581,45.392201685063,29314.3346718106,44147812.3259686
33,Madison/East End,63.2309471790258,75.440174784732,76.0827657113481,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,34.1614906832298,35.3117092247527,30.5958132045088,43152.6256992199,62441489.2397897
35,Midtown,25.0332889480692,24.1011984021305,23.3688415446071,25020.0969697781,23823949.929494
36,Midway/Coldstream,58.0839567747298,72.6309226932668,70.4488778054862,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,59.3485051316377,57.3404730031236,51.5394912985274,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,45.2786377708978,39.8606811145511,35.4102167182662,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,29.0884104443426,24.3930371049015,23.5913879981676,42904.2221443837,74923987.6939622
40,Northwood,39.1756293937391,42.7807486631016,39.055458751427,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,63.7299771167048,65.6621095699032,64.7639956092206,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,54.320446829482,57.3869236666302,60.4534005037783,47825.8629265765,89894372.2114828
43,Patterson Park North & East,53.5431988452815,60.2103237335899,57.5984603752835,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,63.1981795614398,62.9913115432354,58.8539511791477,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,51.1171293161814,50.9478672985782,50.52471225457,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,64.4907589461266,68.6197404640189,69.6028313016122,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,59.546186895811,67.8705692803437,67.937701396348,20987.1433066415,23672092.8680536
48,South Baltimore,19.440194401944,38.2453949422416,39.1820168591945,68440.0258267645,46353935.42529
49,Southeastern,59.4249201277955,63.8977635782748,58.4664536741214,102291.480547452,111251478.472831
50,Southern Park Heights,57.0611261668172,64.062029509184,55.3297199638663,24052.2213722085,27876227.5906738
51,Southwest Baltimore,71.9597428012301,77.1596309756779,65.1942968968409,28355.5635813649,37766068.8367913
52,The Waverlies,61.1376241454921,68.7475815813234,65.6520056752224,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,64.8861352980576,72.6165151808161,70.6826532585573,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,83.0456114846447,80.1381064873705,87.406868980556,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,52.8164067987077,63.07065599101,58.5756426464391,42573.1244161893,45494092.9497963
