FID,CSA2010,mort1_11,mort1_12,mort1_13,mort1_14,mort1_15,mort1_16,mort1_17,mort1_18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,14.78599222,16.93548387,14.14309484,11.3735783,10.61007958,8.992805755,10.37735849,10.50620821,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,12.75239107,11.78992497,14.73922902,9.291521487,8.363201912,9.638554217,8.894536213,6.476683938,37524.9505333862,47882527.7112373
3,Belair-Edison,21.29221733,14.95886313,14.26307448,10.84236864,10.08403361,9.657594381,6.603773585,7.611798287,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,7.724719101,7.902298851,10.20408163,9.878419453,9.002250563,9.601181684,11.02130786,10.48689139,150987.70363871,176077742.748461
5,Canton,5.660377358,1.795332136,1.757469244,0,3.225806452,4.792332268,4.823151125,7.86163522,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,13.71308017,15.17615176,14.38848921,14.54333915,12.18804411,12.67281106,11.93317422,13.01921885,39962.5498346887,71541340.306082
7,Cherry Hill,15.22248244,14.79654747,17.43462017,19.8757764,18.75,19.8757764,17.34820322,11.52368758,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,11.14649682,11.25401929,11.78451178,10.56338028,8.960573477,7.575757576,16.66666667,14.76793249,21705.411630324,21022590.1303212
9,Claremont/Armistead,,3.134796238,4.862236629,6.259780908,8.595988539,12.85714286,12.69393512,11.06500692,40104.4159801772,61243774.4204004
10,Clifton-Berea,21.45411204,17.6056338,17.76649746,14.68624833,14.82479784,17.9558011,20.64896755,23.04147465,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,9.216589862,2.059025395,2.070393375,7.73480663,5.395683453,4.518072289,4.073319756,4.599211564,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,25,18.58736059,13.88888889,17.06484642,13.20132013,9.493670886,9.259259259,13.15789474,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,8.450704225,10.29411765,12.5984252,8.051529791,6.389776358,8.23723229,9.966777409,6.896551724,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,12.90322581,8.955223881,9.404388715,12.15805471,8.379888268,10.25641026,12.98701299,14.96259352,21565.8593945388,20736554.4071934
15,Edmondson Village,12.34567901,12.65822785,11.29943503,13.61867704,9.823182711,4,4.184100418,8.639308855,21504.5513578719,23563061.0426838
16,Fells Point,,4.225352113,4.178272981,4.143646409,5.66572238,5.649717514,7.26744186,7.507507508,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,6.134969325,10.83591331,10.55806938,10.2489019,10.55806938,9.345794393,4.8,8.417508418,36886.899781185,37200535.0297002
18,Glen-Fallstaff,6.802721088,7.448789572,8.426966292,9.776536313,9.673518742,6.256517205,4.784688995,4.911591356,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,14.28571429,15.15151515,9.735744089,12.36749117,11.4379085,9.188361409,6.279434851,4.81540931,26454.2692113378,27051213.4555493
20,Greater Govans,15.09433962,12.43093923,12.78409091,10.11560694,5.698005698,5.908419498,7.183908046,8.995502249,22982.1257150065,22698495.7172767
21,Greater Mondawmin,15.94896332,17.6565008,14.61038961,13.44537815,5.154639175,9.04159132,5.474452555,7.547169811,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,,3.278688525,3.401360544,3.378378378,3.610108303,3.6900369,0,0,39862.7497953315,56688145.179702
23,Greater Rosemont,11.0974106,13.60103627,15.24601525,13.25478645,11.29518072,12.01201201,13.94268009,12.92407108,32559.0762212062,42204384.5422658
24,Greenmount East,20.49180328,18.20728291,20.51983584,19.94301994,16.20029455,11.79941003,12.44167963,11.66666667,20797.473457859,19072287.8238042
25,Hamilton,13.17523057,14.96598639,16,8.298755187,13.40482574,13.02083333,13.88888889,10.1744186,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,15.48672566,19.52277657,20.31602709,20.45454545,16.66666667,14.5631068,10.41666667,11.49425287,18552.4075815481,10215859.0840198
27,Harford/Echodale,6.304176517,6.389776358,4.078303426,2.666666667,2.620087336,7.194244604,6.26118068,9.250693802,40019.1854001864,65360039.1701278
28,Highlandtown,4.437869822,7.299270073,8.344923505,10.69518717,10.30927835,7.528230866,5.006257822,2.564102564,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,8.771929825,7.532956685,7.90513834,5.671077505,5.905511811,9.46969697,15.35508637,17.30769231,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,7.142857143,6.896551724,5.701254276,5.592841163,3.322259136,4.667444574,2.418379686,1.262626263,43415.0595477941,24995836.2620936
31,Lauraville,18.04123711,14.68624833,9.735744089,5.586592179,4.189944134,4.379562044,6.172839506,9.287925697,34419.6765281197,49665744.2382935
32,Loch Raven,13.59223301,13.65546218,14.60674157,13.80897583,14.18439716,11.82033097,12.07729469,10.84337349,29314.3346718106,44147812.3259686
33,Madison/East End,14.02373247,14.38053097,15.51312649,12.90322581,12.14574899,12.34567901,10.13024602,7.54147813,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,6.283662478,7.067137809,4.444444444,7.092198582,6.884681583,4.401408451,4.464285714,4.508566276,43152.6256992199,62441489.2397897
35,Midtown,11.53846154,7.633587786,7.766990291,11.23595506,9.671179884,9.36329588,9.541984733,9.861932939,25020.0969697781,23823949.929494
36,Midway/Coldstream,10.63829787,15.36643026,8.805031447,12.97016861,13.03780965,14.94565217,13.65705615,16.10305958,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,11.25401929,11.60862355,10.15228426,10.1010101,8.223684211,1.612903226,1.6,0,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,3.174603175,3.115264798,3.115264798,0,0,0,0,0,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,4.109589041,0,0,1.485884101,1.455604076,1.447178003,1.494768311,1.552795031,42904.2221443837,74923987.6939622
40,Northwood,12.55707763,13.11084625,14.9068323,17.72151899,14.08450704,14.45466491,14.39790576,13.9275766,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,9.950248756,9.966777409,10.40312094,11.64483261,12.60504202,14.23027167,12.57861635,13.08900524,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,3.10880829,4.085801839,5.12295082,9.842519685,10.26119403,9.398496241,10.17576318,10.79136691,47825.8629265765,89894372.2114828
43,Patterson Park North & East,7.920792079,7.653061224,9.702457956,10.78680203,10.87651951,8.980115459,8.146639511,4.830917874,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,12.80409731,12.61034048,14.32291667,9.433962264,9.88700565,8.547008547,4.777070064,5.059021922,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,18.90989989,20.96177559,18.44532279,23.22404372,19.97146933,16.99716714,18.70503597,17.85714286,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,14.11764706,10.07556675,12.40694789,12.78772379,15.42416452,9.975062344,15.38461538,11.20448179,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,16.75552171,13.17829457,9.661835749,7.37704918,10.07556675,7.792207792,7.434944238,8.7890625,20987.1433066415,23672092.8680536
48,South Baltimore,5.714285714,5.244755245,4.8,1.577287066,1.481481481,1.436781609,4.279600571,2.869440459,68440.0258267645,46353935.42529
49,Southeastern,9.090909091,8.976660682,8.992805755,8.944543828,8.880994671,6.837606838,5.163511188,3.565062389,102291.480547452,111251478.472831
50,Southern Park Heights,14.44350042,14.27297056,17.22488038,15.18026565,15.54907677,19.74333662,17.08542714,12.79317697,24052.2213722085,27876227.5906738
51,Southwest Baltimore,14.22879909,15.02021953,11.73563928,11.59793814,13.88888889,10.31636864,9.672619048,10.30110935,28355.5635813649,37766068.8367913
52,The Waverlies,13.53637902,13.98601399,11.34215501,11.34215501,12.04819277,14.14141414,16.66666667,16.84210526,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,14.14141414,10.33057851,11.80257511,9.966777409,10.01112347,7.972665148,7.237635706,3.792667509,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,13.92111369,13.33333333,8.928571429,4.535147392,4.62962963,9.174311927,9.456264775,10.07556675,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,17.03577513,12.68115942,11.21794872,1.84501845,3.47826087,3.401360544,3.289473684,6.535947712,42573.1244161893,45494092.9497963
